year,n,intercept,beta,sigma_resid,var_resid,implied_stationary_mean_log,implied_stationary_var_log,mean_resid,sd_resid,persistence,model_tag,model,stage,transition_year_start,transition_year_end,spectral_radius,is_stationary,beta_1,beta_2,beta_3
8,12104,0.4820564251130624,0.6524110439815193,0.8478932400864798,0.718922946584349,1.3868577144534833,1.2516943376266276,-7.038505784669201e-16,0.8478932400864798,0.6524110439815193,ar1_s,AR(1)-GRW-S,8-20,8.0,19.0,,,,,
9,12104,0.4820564251130624,0.6524110439815193,0.8478932400864798,0.718922946584349,1.3868577144534833,1.2516943376266276,-7.038505784669201e-16,0.8478932400864798,0.6524110439815193,ar1_s,AR(1)-GRW-S,8-20,8.0,19.0,,,,,
10,12104,0.4820564251130624,0.6524110439815193,0.8478932400864798,0.718922946584349,1.3868577144534833,1.2516943376266276,-7.038505784669201e-16,0.8478932400864798,0.6524110439815193,ar1_s,AR(1)-GRW-S,8-20,8.0,19.0,,,,,
11,12104,0.4820564251130624,0.6524110439815193,0.8478932400864798,0.718922946584349,1.3868577144534833,1.2516943376266276,-7.038505784669201e-16,0.8478932400864798,0.6524110439815193,ar1_s,AR(1)-GRW-S,8-20,8.0,19.0,,,,,
12,12104,0.4820564251130624,0.6524110439815193,0.8478932400864798,0.718922946584349,1.3868577144534833,1.2516943376266276,-7.038505784669201e-16,0.8478932400864798,0.6524110439815193,ar1_s,AR(1)-GRW-S,8-20,8.0,19.0,,,,,
13,12104,0.4820564251130624,0.6524110439815193,0.8478932400864798,0.718922946584349,1.3868577144534833,1.2516943376266276,-7.038505784669201e-16,0.8478932400864798,0.6524110439815193,ar1_s,AR(1)-GRW-S,8-20,8.0,19.0,,,,,
14,12104,0.4820564251130624,0.6524110439815193,0.8478932400864798,0.718922946584349,1.3868577144534833,1.2516943376266276,-7.038505784669201e-16,0.8478932400864798,0.6524110439815193,ar1_s,AR(1)-GRW-S,8-20,8.0,19.0,,,,,
15,12104,0.4820564251130624,0.6524110439815193,0.8478932400864798,0.718922946584349,1.3868577144534833,1.2516943376266276,-7.038505784669201e-16,0.8478932400864798,0.6524110439815193,ar1_s,AR(1)-GRW-S,8-20,8.0,19.0,,,,,
16,12104,0.4820564251130624,0.6524110439815193,0.8478932400864798,0.718922946584349,1.3868577144534833,1.2516943376266276,-7.038505784669201e-16,0.8478932400864798,0.6524110439815193,ar1_s,AR(1)-GRW-S,8-20,8.0,19.0,,,,,
17,12104,0.4820564251130624,0.6524110439815193,0.8478932400864798,0.718922946584349,1.3868577144534833,1.2516943376266276,-7.038505784669201e-16,0.8478932400864798,0.6524110439815193,ar1_s,AR(1)-GRW-S,8-20,8.0,19.0,,,,,
18,12104,0.4820564251130624,0.6524110439815193,0.8478932400864798,0.718922946584349,1.3868577144534833,1.2516943376266276,-7.038505784669201e-16,0.8478932400864798,0.6524110439815193,ar1_s,AR(1)-GRW-S,8-20,8.0,19.0,,,,,
19,12104,0.4820564251130624,0.6524110439815193,0.8478932400864798,0.718922946584349,1.3868577144534833,1.2516943376266276,-7.038505784669201e-16,0.8478932400864798,0.6524110439815193,ar1_s,AR(1)-GRW-S,8-20,8.0,19.0,,,,,
0,1963,0.9798170766818244,0.4020225681117277,0.9369108725342336,0.8778019830728588,1.638551932616909,1.0470242959324805,-2.6242663445036817e-17,0.9369108725342336,0.4020225681117277,ar1_s_globalinit,AR(1)-GRW-S-G,0,0.0,0.0,,,,,
1,7826,0.8482784246430878,0.5215724636655389,0.856860056506938,0.734209156437073,1.773055186459982,1.0085814779810174,-1.0895109671762331e-16,0.856860056506938,0.5215724636655389,ar1_s_globalinit,AR(1)-GRW-S-G,1-4,1.0,4.0,,,,,
2,7826,0.8482784246430878,0.5215724636655389,0.856860056506938,0.734209156437073,1.773055186459982,1.0085814779810174,-1.0895109671762331e-16,0.856860056506938,0.5215724636655389,ar1_s_globalinit,AR(1)-GRW-S-G,1-4,1.0,4.0,,,,,
3,7826,0.8482784246430878,0.5215724636655389,0.856860056506938,0.734209156437073,1.773055186459982,1.0085814779810174,-1.0895109671762331e-16,0.856860056506938,0.5215724636655389,ar1_s_globalinit,AR(1)-GRW-S-G,1-4,1.0,4.0,,,,,
4,7826,0.8482784246430878,0.5215724636655389,0.856860056506938,0.734209156437073,1.773055186459982,1.0085814779810174,-1.0895109671762331e-16,0.856860056506938,0.5215724636655389,ar1_s_globalinit,AR(1)-GRW-S-G,1-4,1.0,4.0,,,,,
5,5140,0.6644627461055168,0.5705356476079533,0.8439304696035259,0.7122186375252278,1.5471895220280034,1.055937989399402,1.3478193917628359e-16,0.8439304696035259,0.5705356476079533,ar1_s_globalinit,AR(1)-GRW-S-G,5-7,5.0,7.0,,,,,
6,5140,0.6644627461055168,0.5705356476079533,0.8439304696035259,0.7122186375252278,1.5471895220280034,1.055937989399402,1.3478193917628359e-16,0.8439304696035259,0.5705356476079533,ar1_s_globalinit,AR(1)-GRW-S-G,5-7,5.0,7.0,,,,,
7,5140,0.6644627461055168,0.5705356476079533,0.8439304696035259,0.7122186375252278,1.5471895220280034,1.055937989399402,1.3478193917628359e-16,0.8439304696035259,0.5705356476079533,ar1_s_globalinit,AR(1)-GRW-S-G,5-7,5.0,7.0,,,,,
8,12104,0.4820564251130624,0.6524110439815193,0.8478932400864798,0.718922946584349,1.3868577144534833,1.2516943376266276,-7.038505784669201e-16,0.8478932400864798,0.6524110439815193,ar1_s_globalinit,AR(1)-GRW-S-G,8-20,8.0,19.0,,,,,
9,12104,0.4820564251130624,0.6524110439815193,0.8478932400864798,0.718922946584349,1.3868577144534833,1.2516943376266276,-7.038505784669201e-16,0.8478932400864798,0.6524110439815193,ar1_s_globalinit,AR(1)-GRW-S-G,8-20,8.0,19.0,,,,,
