source,model_tag,state,run_length,probability
Empirical,empirical,zero,1,0.6946484784889821
Empirical,empirical,zero,2,0.18363064008394545
Empirical,empirical,zero,3,0.06295907660020986
Empirical,empirical,zero,4,0.02833158447009444
Empirical,empirical,zero,5,0.013641133263378805
Empirical,empirical,zero,6,0.005246589716684155
Empirical,empirical,zero,7,0.005246589716684155
Empirical,empirical,zero,8,0.0031479538300104933
Empirical,empirical,zero,9,0.001049317943336831
Empirical,empirical,zero,10,0.001049317943336831
Empirical,empirical,zero,14,0.001049317943336831
Empirical,empirical,active,1,0.25562700964630225
Empirical,empirical,active,2,0.11736334405144695
Empirical,empirical,active,3,0.08038585209003216
Empirical,empirical,active,4,0.06270096463022508
Empirical,empirical,active,5,0.05305466237942122
Empirical,empirical,active,6,0.04662379421221865
Empirical,empirical,active,7,0.03617363344051447
Empirical,empirical,active,8,0.02009646302250804
Empirical,empirical,active,9,0.023311897106109324
Empirical,empirical,active,10,0.024115755627009645
Empirical,empirical,active,11,0.018488745980707395
Empirical,empirical,active,12,0.02009646302250804
Empirical,empirical,active,13,0.02090032154340836
Empirical,empirical,active,14,0.014469453376205787
Empirical,empirical,active,15,0.008038585209003215
Empirical,empirical,active,16,0.012057877813504822
Empirical,empirical,active,17,0.011254019292604502
Empirical,empirical,active,18,0.008038585209003215
Empirical,empirical,active,19,0.017684887459807074
Empirical,empirical,active,20,0.022508038585209004
Empirical,empirical,active,21,0.1270096463022508
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,zero,1,0.6172908169571129
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,zero,2,0.2314917809912248
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,zero,3,0.08904956124088494
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,zero,4,0.03639846743295019
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,zero,5,0.01575824990730441
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,zero,6,0.005747126436781609
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,zero,7,0.0027190705722407614
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,zero,8,0.0006797676430601903
